Name	Mixture
CI_012	0.015625
CI_015	0.015625
CI_019	1
CI_021	0.0078125
CI_025	0.03125
CI_034	1
CI_035	0.25
CI_044	0.0009766
CI_050	0.5
CI_053	0.0625
CI_071	0.03125
CI_077	0.5
CI_081	0.0078125
CI_084	0.03125
CI_085	0.0019531
CI_086	0.0019531
CS_011	0.5
CS_018	0.5
CS_022	0.25
CS_027	0.015625
CS_040	0.0009766
CS_064	0.25
CS_071	0.25
CS_075	1
CS_077	0.25
CS_080	0.0625
CS_088	0.25
CS_091	0.015625
CS_127	0.125
CS_178	0.03125
CS_196	0.5
CS_203	0.125
CS_209	0.125
CS_223	0.125
CS_225	0.03125
CS_229	0.125
CS_247	1
CS_261	0.0625
CS_262	0.125
CS_268	0.125
CS_278	0.25
CS_296	0.0625
CS_308	0.0625
CS_326	0.25
CS_336	0.0625
CS_341	0.5
CS_342	0.0625
CS_344	0.0625
CS_363	0.0039063
CS_371	0.5
CS_376	0.5
CS_380	0.0078125
CS_383	0.25
CS_415	0.0625
CS_421	0.125
CS_429	0.015625
CS_449	1
CS_457	0.0009766
CS_462	0.0039063
CS_471	0.0019531
CS_475	0.03125
CS_484	0.0019531
CS_488	0.0019531
CS_494	0.5
CS_500	0.0078125
CS_515	0.0078125
CS_526	0.0078125
CS_542	0.0078125
CS_560	0.0019531
CS_572	1
CS_573	0.015625
CS_585	0.0039063
CS_594	0.0078125
CS_608	0.0039063
CS_611	0.0078125
CS_641	0.0039063
CS_648	0.0039063
CS_653	0.0039063
CS_654	1
CS_677	0.015625
CS_689	0.0019531
CS_693	0.0078125
CS_695	0.0019531
CS_703	0.015625
CS_725	0.0078125
CS_743	0.0019531
CS_754	0.0009766
CS_756	0.0009766
CS_759	0.0009766
CS_766	1
CS_771	0.03125
CS_775	0.015625
CS_778	0.0009766
CS_790	0.0009766
